element_type,hierarchy_level,dom_depth,text,selector,is_visible,x,y,width,height,attributes
link,5,16,Create your first form,a,True,602.0,520.640625,183.875,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Create your first form"", ""href"": ""/help/create-a-form"", ""_overlay_score"": 0.0}"
link,5,16,Embed your form,a,True,602.0,596.640625,155.390625,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Embed your form"", ""href"": ""/help/embed-your-form"", ""_overlay_score"": 0.0}"
link,5,16,Help center,a,True,602.0,634.640625,117.546875,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Help center"", ""href"": ""/help"", ""_overlay_score"": 0.0}"
link,5,16,Learn about Tally Pro,a,True,602.0,672.640625,181.546875,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Learn about Tally Pro"", ""href"": ""/help/tally-pro"", ""_overlay_score"": 0.0}"
link,5,16,Conditional logic,a,True,952.0,520.640625,151.96875,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Conditional logic"", ""href"": ""/help/conditional-form-logic"", ""_overlay_score"": 0.0}"
link,5,16,Calculator,a,True,952.0,558.640625,108.234375,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Calculator"", ""href"": ""/help/form-calculator"", ""_overlay_score"": 0.0}"
link,5,16,Hidden fields,a,True,952.0,596.640625,128.453125,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Hidden fields"", ""href"": ""/help/hidden-fields"", ""_overlay_score"": 0.0}"
link,5,16,Mentions,a,True,952.0,634.640625,102.140625,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Mentions"", ""href"": ""/help/answer-piping"", ""_overlay_score"": 0.0}"
link,5,16,Collect payments,a,True,952.0,672.640625,156.40625,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Collect payments"", ""href"": ""/help/payment-forms"", ""_overlay_score"": 0.0}"
input-file,5,8,,"input[type=""file""]",True,0.0,48.0,1.0,1,"{""accept"": ""image/*"", ""multiple"": """", ""type"": ""file"", ""tabindex"": ""-1"", ""style"": ""border: 0px; clip: rect(0px, 0px, 0px, 0px); clip-path: inset(50%); height: 1px; margin: 0px -1px -1px 0px; overflow: hidden; padding: 0px; position: absolute; width: 1px; white-space: nowrap;"", ""_overlay_score"": 0.0}"
